"Add an attribute to filter","Ajouter un attribut à filtrer"
"all of them operator","égal à toutes les valeurs sélectionnées"
"asc","Tri ascendant"
"at least one of them operator","au minimum égal à une des valeurs sélectionnées"
"Attribute filters","Filtre sur les attributs"
"Attribute list","Liste des attributs filtrés"
"Category filters","Filtre sur les catégories"
"Collection management","Gestion de la liste"
"Comment :","Commentaires :"
"desc","Tri descendant"
"equal operator","égal à"
"Filter only discounted products ?","Filtre sur les produits en promotion"
"Filter only new products ?","Filtre sur les nouveaux produits"
"General informations","Informations générales"
"Generic RSS for products","RSS des flux de produits"
"Invalid data","Données invalides"
"Limit :","Limite :"
"Name :","Nom :"
"News from date","Date de début de nouvauté"
"News to date","Date de fin de nouvauté"
"No order","Pas d'ordre"
"not equal operator","différent de"
"or operator","égal à une des valeurs sélectionnées"
"Order %s :","Tri n°%s :"
"Other filters","Filtres spéciaux"
"Product flow","Flux de produits"
"Product flow edition","Edition d'un flux de produits"
"Product flow management","Gestion des flux de produits"
"Products list from %s","Liste de produits depuis %s"
"Server error","Erreur interne du serveur"
"The product flow does not exist","Le flux de produits recherché n'existe pas"
"The product flow was successfully deleted","Le flux de produits a été supprimé avec succès."
"The product flow was successfully updated","Le flux de produits a été mis à jour avec succès."
